# tau [ps];  MSD [pm^2];  Derivative
0.000000; 0.000000; 1272592.097515
0.010000; 12725.920975; 1211769.554048
0.020000; 24843.616516; 1064871.279437
0.030000; 35492.329310; 920142.713119
0.040000; 44693.756441; 788430.811610
0.050000; 52578.064557; 685159.460539
0.060000; 59429.659163; 605935.792089
0.070000; 65489.017084; 533153.840342
0.080000; 70820.555487; 470308.802653
0.090000; 75523.643514; 434123.554466
0.100000; 79864.879058; 414580.586100
0.110000; 84010.684919; 401254.474717
0.120000; 88023.229666; 380348.338844
0.130000; 91826.713055; 358313.283799
0.140000; 95409.845893; 331719.879321
0.150000; 98727.044686; 313842.377944
0.160000; 101865.468465; 293505.503535
0.170000; 104800.523501; 270209.011491
0.180000; 107502.613616; 247883.165175
0.190000; 109981.445267; 234919.587575
0.200000; 112330.641143; 222663.157694
0.210000; 114557.272720; 210162.721918
0.220000; 116658.899939; 199138.870192
0.230000; 118650.288641; 183245.076417
0.240000; 120482.739405; 170389.426936
0.250000; 122186.633675; 151554.362573
0.260000; 123702.177300; 140597.421988
0.270000; 125108.151520; 127240.850990
0.280000; 126380.560030; 124766.382615
0.290000; 127628.223856; 118271.283296
0.300000; 128810.936689; 113604.561540
0.310000; 129946.982305; 102216.723016
0.320000; 130969.149535; 93616.564115
0.330000; 131905.315176; 89376.773274
0.340000; 132799.082909; 88046.378315
0.350000; 133679.546692; 93654.985341
0.360000; 134616.096545; 87014.145828
0.370000; 135486.238004; 84668.739790
0.380000; 136332.925402; 85173.460968
0.390000; 137184.660011; 84174.530279
0.400000; 138026.405314; 81372.696771
0.410000; 138840.132282; 80022.328300
0.420000; 139640.355565; 69492.589282
0.430000; 140335.281458; 71682.139759
0.440000; 141052.102855; 75383.217138
0.450000; 141805.935027; 70923.561863
0.460000; 142515.170645; 68260.505836
0.470000; 143197.775704; 62053.923986
0.480000; 143818.314943; 53119.606172
0.490000; 144349.511005; 49515.202103
0.500000; 144844.663026; 45551.886861
0.510000; 145300.181895; 41968.844575
0.520000; 145719.870340; 41428.337211
0.530000; 146134.153713; 40114.638269
0.540000; 146535.300095; 41455.932521
0.550000; 146949.859421; 42226.776511
0.560000; 147372.127186; 42253.849913
0.570000; 147794.665685; 42654.677871
0.580000; 148221.212463; 50583.302736
0.590000; 148727.045491; 49726.198049
0.600000; 149224.307471; 49769.427219
0.610000; 149722.001743; 51316.650949
0.620000; 150235.168253; 49163.238367
0.630000; 150726.800637; 48752.800118
0.640000; 151214.328638; 48211.030406
0.650000; 151696.438942; 47979.927313
0.660000; 152176.238215; 51346.609931
0.670000; 152689.704314; 53692.176842
0.680000; 153226.626083; 53972.595094
0.690000; 153766.352034; 46632.249628
0.700000; 154232.674530; 45942.114112
0.710000; 154692.095671; 45758.002454
0.720000; 155149.675696; 46514.350339
0.730000; 155614.819199; 45616.807629
0.740000; 156070.987275; 48424.228403
0.750000; 156555.229559; 41704.861938
0.760000; 156972.278179; 41591.778779
0.770000; 157388.195967; 47093.981112
0.780000; 157859.135778; 44724.871455
0.790000; 158306.384492; 43654.589543
0.800000; 158742.930388; 46259.504875
0.810000; 159205.525436; 46955.147373
0.820000; 159675.076910; 51500.412844
0.830000; 160190.081039; 45614.007124
0.840000; 160646.221110; 47233.414327
0.850000; 161118.555253; 46364.652643
0.860000; 161582.201779; 46670.629532
0.870000; 162048.908075; 45720.463868
0.880000; 162506.112713; 47785.263106
0.890000; 162983.965345; 41789.588298
0.900000; 163401.861228; 38384.447819
0.910000; 163785.705706; 28944.530616
0.920000; 164075.151012; 32965.963808
0.930000; 164404.810650; 33494.392504
0.940000; 164739.754575; 33670.481412
0.950000; 165076.459389; 37603.826955
0.960000; 165452.497659; 36115.354029
0.970000; 165813.651199; 33925.482711
0.980000; 166152.906026; 34557.305407
0.990000; 166498.479080; 33854.199113
1.000000; 166837.021071; 29690.210621
1.010000; 167133.923177; 33457.383973
1.020000; 167468.497017; 39824.877868
1.030000; 167866.745796; 29419.479887
1.040000; 168160.940595; 30047.642784
1.050000; 168461.417023; 32331.138722
1.060000; 168784.728410; 28516.616139
1.070000; 169069.894571; 27458.300359
1.080000; 169344.477575; 27001.585577
1.090000; 169614.493431; 29460.091900
1.100000; 169909.094350; 32014.422662
1.110000; 170229.238576; 40054.450481
1.120000; 170629.783081; 41015.197646
1.130000; 171039.935057; 43016.421577
1.140000; 171470.099273; 37974.815551
1.150000; 171849.847429; 35292.768974
1.160000; 172202.775119; 34771.569274
1.170000; 172550.490811; 32128.104493
1.180000; 172871.771856; 34294.021457
1.190000; 173214.712071; 30627.700978
1.200000; 173520.989081; 26773.920235
1.210000; 173788.728283; 28806.244260
1.220000; 174076.790725; 30775.399062
1.230000; 174384.544716; 29528.395506
1.240000; 174679.828671; 28316.515690
1.250000; 174962.993828; 27549.657824
1.260000; 175238.490406; 30862.912841
1.270000; 175547.119535; 28500.544113
1.280000; 175832.124976; 27891.932325
1.290000; 176111.044299; 28262.558447
1.300000; 176393.669884; 30680.182444
1.310000; 176700.471708; 36729.362856
1.320000; 177067.765337; 34154.429355
1.330000; 177409.309630; 30685.450177
1.340000; 177716.164132; 38819.319837
1.350000; 178104.357330; 42360.809816
1.360000; 178527.965428; 42526.696206
1.370000; 178953.232390; 40548.133603
1.380000; 179358.713726; 43621.185406
1.390000; 179794.925581; 41694.569522
1.400000; 180211.871276; 37701.875719
1.410000; 180588.890033; 30977.594272
1.420000; 180898.665976; 32036.387355
1.430000; 181219.029849; 32727.266235
1.440000; 181546.302512; 28431.191295
1.450000; 181830.614425; 32013.407017
1.460000; 182150.748495; 32182.016244
1.470000; 182472.568657; 30811.751057
1.480000; 182780.686168; 30456.473773
1.490000; 183085.250905; 32561.906753
1.500000; 183410.869973; 30236.633701
1.510000; 183713.236310; 30242.438830
1.520000; 184015.660698; 32462.837874
1.530000; 184340.289077; 31533.887218
1.540000; 184655.627949; 37476.422830
1.550000; 185030.392178; 40268.671802
1.560000; 185433.078896; 42841.196799
1.570000; 185861.490864; 42443.748753
1.580000; 186285.928351; 35308.712172
1.590000; 186639.015473; 34561.181347
1.600000; 186984.627286; 35815.868371
1.610000; 187342.785970; 27207.763539
1.620000; 187614.863605; 31840.207201
1.630000; 187933.265677; 31000.661959
1.640000; 188243.272297; 33819.806287
1.650000; 188581.470360; 39496.171911
1.660000; 188976.432079; 43659.546908
1.670000; 189413.027548; 48007.788740
1.680000; 189893.105435; 41307.067340
1.690000; 190306.176109; 40974.130361
1.700000; 190715.917412; 45971.402172
1.710000; 191175.631434; 44687.527136
1.720000; 191622.506705; 44522.653198
1.730000; 192067.733237; 40875.414354
1.740000; 192476.487381; 40285.871120
1.750000; 192879.346092; 38286.777071
1.760000; 193262.213863; 41059.162656
1.770000; 193672.805489; 42633.717494
1.780000; 194099.142664; 41460.280584
1.790000; 194513.745470; 38113.985051
1.800000; 194894.885321; 39061.264794
1.810000; 195285.497969; 38191.736153
1.820000; 195667.415330; 34477.701777
1.830000; 196012.192348; 29760.000060
1.840000; 196309.792349; 25297.837852
1.850000; 196562.770727; 26168.724934
1.860000; 196824.457976; 25336.160476
1.870000; 197077.819581; 24423.640107
1.880000; 197322.055982; 23871.423160
1.890000; 197560.770214; 30706.432381
1.900000; 197867.834538; 33535.059003
1.910000; 198203.185128; 32867.073867
1.920000; 198531.855866; 40207.061668
1.930000; 198933.926483; 40630.402020
1.940000; 199340.230503; 34771.245074
1.950000; 199687.942954; 37276.418220
1.960000; 200060.707136; 35688.654573
1.970000; 200417.593682; 33164.847111
1.980000; 200749.242153; 33157.354272
1.990000; 201080.815696; 32828.370610
2.000000; 201409.099402; 32754.238976
2.010000; 201736.641792; 37245.111901
2.020000; 202109.092911; 37302.344459
2.030000; 202482.116355; 40788.714790
2.040000; 202890.003503; 38382.535429
2.050000; 203273.828857; 36799.577136
2.060000; 203641.824629; 32905.683940
2.070000; 203970.881468; 28389.018743
2.080000; 204254.771656; 20817.421823
2.090000; 204462.945874; 20148.781976
2.100000; 204664.433694; 20018.896384
2.110000; 204864.622657; 25692.766041
2.120000; 205121.550318; 26077.871218
2.130000; 205382.329030; 30028.603859
2.140000; 205682.615069; 26816.170360
2.150000; 205950.776772; 26174.060369
2.160000; 206212.517376; 25843.963942
2.170000; 206470.957015; 25625.019898
2.180000; 206727.207214; 21286.780715
2.190000; 206940.075021; 21600.591342
2.200000; 207156.080935; 21553.807436
2.210000; 207371.619009; 27909.150471
2.220000; 207650.710514; 27101.832462
2.230000; 207921.728839; 28850.231124
2.240000; 208210.231150; 29795.317772
2.250000; 208508.184328; 28661.481300
2.260000; 208794.799141; 29892.005079
2.270000; 209093.719191; 32607.881229
2.280000; 209419.798004; 31926.548069
2.290000; 209739.063484; 27497.534871
2.300000; 210014.038833; 30409.839596
2.310000; 210318.137229; 33907.125416
2.320000; 210657.208483; 32919.032734
2.330000; 210986.398810; 32964.620279
2.340000; 211316.045013; 33686.184236
2.350000; 211652.906856; 34108.399204
2.360000; 211993.990848; 34604.666911
2.370000; 212340.037517; 33505.866615
2.380000; 212675.096183; 29869.337369
2.390000; 212973.789557; 29052.519204
2.400000; 213264.314749; 24617.454787
2.410000; 213510.489297; 32042.547304
2.420000; 213830.914770; 34576.173579
2.430000; 214176.676505; 36533.569732
2.440000; 214542.012203; 36269.203584
2.450000; 214904.704238; 37550.972733
2.460000; 215280.213966; 36495.584406
2.470000; 215645.169810; 31815.920920
2.480000; 215963.329019; 31571.585704
2.490000; 216279.044876; 29728.969161
2.500000; 216576.334568; 30552.936529
2.510000; 216881.863933; 30136.161393
2.520000; 217183.225547; 28250.312785
2.530000; 217465.728675; 27098.658896
2.540000; 217736.715264; 31279.314961
2.550000; 218049.508413; 25145.211135
2.560000; 218300.960525; 27632.604114
2.570000; 218577.286566; 26760.783628
2.580000; 218844.894402; 25487.030097
2.590000; 219099.764703; 25910.408372
2.600000; 219358.868787; 27611.089557
2.610000; 219634.979682; 26159.024150
2.620000; 219896.569924; 22947.994423
2.630000; 220126.049868; 21579.747932
2.640000; 220341.847347; 22046.910263
2.650000; 220562.316450; 27467.439347
2.660000; 220836.990844; 30613.213362
2.670000; 221143.122977; 30075.173691
2.680000; 221443.874714; 26786.439800
2.690000; 221711.739112; 30436.420877
2.700000; 222016.103321; 27817.525422
2.710000; 222294.278575; 29283.577985
2.720000; 222587.114355; 27012.426228
2.730000; 222857.238617; 25377.705649
2.740000; 223111.015674; 22122.297232
2.750000; 223332.238646; 17956.955603
2.760000; 223511.808202; 21812.759063
2.770000; 223729.935793; 20743.756516
2.780000; 223937.373358; 20524.706175
2.790000; 224142.620420; 19932.731773
2.800000; 224341.947737; 23402.328645
2.810000; 224575.971024; 27236.912204
2.820000; 224848.340146; 27891.088593
2.830000; 225127.251032; 21988.118145
2.840000; 225347.132213; 23823.870925
2.850000; 225585.370922; 24239.458779
2.860000; 225827.765510; 26622.864581
2.870000; 226093.994156; 26973.887874
2.880000; 226363.733035; 23155.940016
2.890000; 226595.292435; 25152.502267
2.900000; 226846.817458; 19914.461433
2.910000; 227045.962072; 21290.240412
2.920000; 227258.864476; 23552.649689
2.930000; 227494.390973; 28252.619200
2.940000; 227776.917165; 26272.299114
2.950000; 228039.640156; 26220.790002
2.960000; 228301.848056; 29034.886016
2.970000; 228592.196916; 28768.010707
2.980000; 228879.877023; 27906.152862
2.990000; 229158.938552; 29087.015418
3.000000; 229449.808706; 26150.393860
3.010000; 229711.312645; 30545.780683
3.020000; 230016.770452; 28843.317692
3.030000; 230305.203628; 26970.376686
3.040000; 230574.907395; 23795.323364
3.050000; 230812.860629; 17359.820033
3.060000; 230986.458829; 16830.729296
3.070000; 231154.766122; 19296.429993
3.080000; 231347.730422; 27114.715705
3.090000; 231618.877579; 23317.624367
3.100000; 231852.053823; 19745.807965
3.110000; 232049.511903; 18102.344962
3.120000; 232230.535352; 20749.816322
3.130000; 232438.033515; 17975.018724
3.140000; 232617.783703; 21848.471896
3.150000; 232836.268422; 15703.562170
3.160000; 232993.304043; 16455.885674
3.170000; 233157.862900; 16168.119011
3.180000; 233319.544090; 19944.343310
3.190000; 233518.987523; 20268.055917
3.200000; 233721.668082; 26554.699244
3.210000; 233987.215075; 27655.027518
3.220000; 234263.765350; 25226.090774
3.230000; 234516.026258; 21420.478621
3.240000; 234730.231044; 23305.630025
3.250000; 234963.287344; 23763.063056
3.260000; 235200.917975; 22834.883657
3.270000; 235429.266811; 26859.923759
3.280000; 235697.866049; 33716.143824
3.290000; 236035.027487; 33342.876523
3.300000; 236368.456252; 31341.132988
3.310000; 236681.867582; 28994.727386
3.320000; 236971.814856; 25966.190664
3.330000; 237231.476763; 25907.990729
3.340000; 237490.556670; 27608.097411
3.350000; 237766.637644; 21918.058777
3.360000; 237985.818232; 20076.900839
3.370000; 238186.587240; 27120.313611
3.380000; 238457.790376; 25259.563370
3.390000; 238710.386010; 19220.877275
3.400000; 238902.594783; 18338.144645
3.410000; 239085.976229; 18818.822514
3.420000; 239274.164455; 19839.718757
3.430000; 239472.561642; 18759.924530
3.440000; 239660.160887; 16673.763158
3.450000; 239826.898519; 17340.713730
