# tau [ps];  MSD [pm^2];  Derivative
0.000000; 0.000000; 1477377.235510
0.010000; 14773.772355; 1437458.487673
0.020000; 29148.357232; 1334916.595257
0.030000; 42497.523184; 1215429.861207
0.040000; 54651.821796; 1109779.738043
0.050000; 65749.619177; 1022291.869228
0.060000; 75972.537869; 937497.401019
0.070000; 85347.511879; 854045.423589
0.080000; 93887.966115; 794490.093829
0.090000; 101832.867054; 737321.677561
0.100000; 109206.083829; 696615.608691
0.110000; 116172.239916; 659218.524629
0.120000; 122764.425162; 637118.008232
0.130000; 129135.605245; 619577.150448
0.140000; 135331.376749; 600772.711695
0.150000; 141339.103866; 578445.708045
0.160000; 147123.560947; 556631.039452
0.170000; 152689.871341; 536754.242580
0.180000; 158057.413767; 517408.319470
0.190000; 163231.496962; 501009.862366
0.200000; 168241.595585; 483955.259880
0.210000; 173081.148184; 471294.693537
0.220000; 177794.095119; 450979.954931
0.230000; 182303.894669; 437540.897024
0.240000; 186679.303639; 426318.888849
0.250000; 190942.492527; 415527.842543
0.260000; 195097.770953; 401982.209045
0.270000; 199117.593043; 391502.906979
0.280000; 203032.622113; 386470.306254
0.290000; 206897.325176; 374165.538819
0.300000; 210638.980564; 357184.245660
0.310000; 214210.823020; 338856.841643
0.320000; 217599.391437; 327768.813743
0.330000; 220877.079574; 319395.462635
0.340000; 224071.034201; 309384.423267
0.350000; 227164.878433; 304776.633350
0.360000; 230212.644767; 297339.980487
0.370000; 233186.044572; 289325.832764
0.380000; 236079.302899; 282885.923605
0.390000; 238908.162135; 273411.466291
0.400000; 241642.276798; 263639.945553
0.410000; 244278.676254; 252013.614006
0.420000; 246798.812394; 248088.719728
0.430000; 249279.699591; 241946.169195
0.440000; 251699.161283; 238100.806824
0.450000; 254080.169351; 235587.204420
0.460000; 256436.041396; 235166.076599
0.470000; 258787.702162; 233094.411167
0.480000; 261118.646273; 228315.321046
0.490000; 263401.799484; 226540.008398
0.500000; 265667.199568; 224020.379186
0.510000; 267907.403359; 227028.742504
0.520000; 270177.690785; 219071.378814
0.530000; 272368.404573; 214980.257333
0.540000; 274518.207146; 212536.591337
0.550000; 276643.573059; 212322.816845
0.560000; 278766.801228; 208248.914295
0.570000; 280849.290371; 204659.203289
0.580000; 282895.882404; 200963.869744
0.590000; 284905.521101; 201198.826354
0.600000; 286917.509365; 193582.710078
0.610000; 288853.336465; 192752.814860
0.620000; 290780.864614; 189458.384449
0.630000; 292675.448458; 192081.899611
0.640000; 294596.267455; 191211.498378
0.650000; 296508.382438; 186614.142473
0.660000; 298374.523863; 185816.296550
0.670000; 300232.686829; 180807.074240
0.680000; 302040.757571; 177648.051263
0.690000; 303817.238084; 176453.037267
0.700000; 305581.768456; 176714.741399
0.710000; 307348.915870; 171010.824527
0.720000; 309059.024116; 171534.497114
0.730000; 310774.369087; 171176.328368
0.740000; 312486.132370; 172161.966305
0.750000; 314207.752033; 169517.157343
0.760000; 315902.923607; 167596.829202
0.770000; 317578.891899; 162308.856455
0.780000; 319201.980463; 160623.977943
0.790000; 320808.220243; 161959.238254
0.800000; 322427.812625; 156315.242052
0.810000; 323990.965046; 159292.056328
0.820000; 325583.885609; 159487.302224
0.830000; 327178.758631; 155407.363820
0.840000; 328732.832270; 159422.979373
0.850000; 330327.062063; 157131.091778
0.860000; 331898.372981; 157258.812852
0.870000; 333470.961110; 157967.986904
0.880000; 335050.640979; 157782.444520
0.890000; 336628.465424; 158094.606287
0.900000; 338209.411487; 154476.467869
0.910000; 339754.176165; 152249.397879
0.920000; 341276.670144; 147346.971646
0.930000; 342750.139861; 145158.160303
0.940000; 344201.721464; 151312.280134
0.950000; 345714.844265; 152951.496123
0.960000; 347244.359226; 153374.250784
0.970000; 348778.101734; 151436.432196
0.980000; 350292.466056; 149768.141431
0.990000; 351790.147470; 148685.264672
1.000000; 353277.000117; 148260.070811
1.010000; 354759.600825; 145584.435026
1.020000; 356215.445176; 142893.141305
1.030000; 357644.376589; 137185.579037
1.040000; 359016.232379; 139073.948868
1.050000; 360406.971868; 136127.525391
1.060000; 361768.247122; 135068.356742
1.070000; 363118.930689; 138850.826391
1.080000; 364507.438953; 140673.994389
1.090000; 365914.178897; 137454.777517
1.100000; 367288.726672; 135674.030361
1.110000; 368645.466976; 136388.871723
1.120000; 370009.355693; 135562.551054
1.130000; 371364.981203; 136456.103175
1.140000; 372729.542235; 132958.549870
1.150000; 374059.127734; 135595.168080
1.160000; 375415.079415; 130234.883750
1.170000; 376717.428252; 130861.780055
1.180000; 378026.046053; 124859.133947
1.190000; 379274.637392; 125985.209604
1.200000; 380534.489488; 125096.744679
