# tau [ps];  MSD [pm^2];  Derivative
0.000000; 0.000000; 1357016.837870
0.010000; 13570.168379; 1306607.882779
0.020000; 26636.247206; 1190602.727282
0.030000; 38542.274479; 1038008.329315
0.040000; 48922.357772; 900438.695535
0.050000; 57926.744728; 789842.092168
0.060000; 65825.165649; 697976.881537
0.070000; 72804.934465; 609810.754621
0.080000; 78903.042011; 541817.465650
0.090000; 84321.216668; 478292.076820
0.100000; 89104.137436; 434279.662679
0.110000; 93446.934063; 399560.129558
0.120000; 97442.535358; 369144.356819
0.130000; 101133.978926; 344030.726467
0.140000; 104574.286191; 328828.235243
0.150000; 107862.568543; 314642.962782
0.160000; 111008.998171; 302566.689460
0.170000; 114034.665066; 285318.688062
0.180000; 116887.851946; 259326.993193
0.190000; 119481.121878; 234915.868721
0.200000; 121830.280566; 213699.718184
0.210000; 123967.277747; 196445.158503
0.220000; 125931.729332; 186427.640117
0.230000; 127796.005734; 178896.067073
0.240000; 129584.966404; 162301.780832
0.250000; 131207.984213; 155219.854502
0.260000; 132760.182758; 146728.595843
0.270000; 134227.468716; 135473.646084
0.280000; 135582.205177; 122038.181258
0.290000; 136802.586990; 115859.993095
0.300000; 137961.186921; 106648.701496
0.310000; 139027.673935; 100845.112286
0.320000; 140036.125058; 97756.253654
0.330000; 141013.687595; 95148.011383
0.340000; 141965.167709; 96589.298734
0.350000; 142931.060696; 91583.703378
0.360000; 143846.897730; 83105.086463
0.370000; 144677.948594; 73603.702547
0.380000; 145413.985620; 66629.514305
0.390000; 146080.280763; 62969.934032
0.400000; 146709.980103; 60547.350647
0.410000; 147315.453610; 66367.213793
0.420000; 147979.125748; 63536.123691
0.430000; 148614.486985; 64708.112435
0.440000; 149261.568109; 61494.315077
0.450000; 149876.511260; 61584.565564
0.460000; 150492.356915; 63322.986874
0.470000; 151125.586784; 63164.154963
0.480000; 151757.228334; 59323.108952
0.490000; 152350.459423; 55206.934876
0.500000; 152902.528772; 49821.105782
0.510000; 153400.739830; 46324.228461
0.520000; 153863.982114; 39954.260174
0.530000; 154263.524716; 32670.551826
0.540000; 154590.230234; 35050.976441
0.550000; 154940.739999; 40629.932571
0.560000; 155347.039325; 49959.214366
0.570000; 155846.631468; 48790.733872
0.580000; 156334.538807; 41825.157251
0.590000; 156752.790379; 41228.753360
0.600000; 157165.077913; 41964.690044
0.610000; 157584.724813; 53361.820508
0.620000; 158118.343019; 47552.757628
0.630000; 158593.870595; 44470.739112
0.640000; 159038.577986; 44227.677413
0.650000; 159480.854760; 38832.979407
0.660000; 159869.184554; 37047.790372
0.670000; 160239.662458; 32286.086068
0.680000; 160562.523319; 36822.207699
0.690000; 160930.745396; 38915.547713
0.700000; 161319.900873; 38776.705644
0.710000; 161707.667929; 34158.816846
0.720000; 162049.256098; 39995.968784
0.730000; 162449.215785; 42137.847438
0.740000; 162870.594260; 42839.143222
0.750000; 163298.985692; 42381.504215
0.760000; 163722.800734; 45693.204508
0.770000; 164179.732779; 45554.486874
0.780000; 164635.277648; 42387.321892
0.790000; 165059.150867; 44614.328947
0.800000; 165505.294156; 43196.964588
0.810000; 165937.263802; 45383.375905
0.820000; 166391.097561; 50065.278577
0.830000; 166891.750347; 47251.597074
0.840000; 167364.266318; 41918.713996
0.850000; 167783.453458; 41839.880852
0.860000; 168201.852266; 44022.024837
0.870000; 168642.072515; 40366.155505
0.880000; 169045.734070; 42556.986254
0.890000; 169471.303932; 34980.503747
0.900000; 169821.108970; 33221.269176
0.910000; 170153.321662; 38504.654727
0.920000; 170538.368209; 42519.929946
0.930000; 170963.567508; 39581.209688
0.940000; 171359.379605; 39326.248534
0.950000; 171752.642090; 35501.031788
0.960000; 172107.652408; 35274.230268
0.970000; 172460.394711; 40707.062119
0.980000; 172867.465332; 41294.125245
0.990000; 173280.406585; 35939.125557
1.000000; 173639.797840; 37462.729725
1.010000; 174014.425137; 39994.743641
1.020000; 174414.372574; 43262.969937
1.030000; 174847.002273; 42055.068719
1.040000; 175267.552960; 46144.505088
1.050000; 175728.998011; 40393.403800
1.060000; 176132.932049; 45104.736676
1.070000; 176583.979416; 45953.806572
1.080000; 177043.517482; 35929.826149
1.090000; 177402.815743; 31459.520805
1.100000; 177717.410951; 32343.122876
1.110000; 178040.842180; 32220.749535
1.120000; 178363.049675; 32278.015735
1.130000; 178685.829833; 33633.002002
1.140000; 179022.159853; 34319.414686
1.150000; 179365.354000; 37988.021154
1.160000; 179745.234211; 37340.396328
1.170000; 180118.638174; 31586.674526
1.180000; 180434.504920; 36183.653697
1.190000; 180796.341457; 34318.250341
1.200000; 181139.523960; 40595.147242
1.210000; 181545.475433; 43277.844536
1.220000; 181978.253878; 39046.206191
1.230000; 182368.715940; 41549.183706
1.240000; 182784.207777; 35423.918780
1.250000; 183138.446965; 31356.696153
1.260000; 183452.013926; 37037.070668
1.270000; 183822.384633; 35753.780948
1.280000; 184179.922442; 40667.793556
1.290000; 184586.600378; 37910.245473
1.300000; 184965.702833; 33509.838864
1.310000; 185300.801221; 29019.131284
1.320000; 185590.992534; 21288.596537
1.330000; 185803.878500; 23098.254664
1.340000; 186034.861046; 25251.268555
1.350000; 186287.373732; 29864.506539
1.360000; 186586.018797; 20057.472540
1.370000; 186786.593522; 18930.738425
1.380000; 186975.900907; 21258.926833
1.390000; 187188.490175; 22976.562265
1.400000; 187418.255798; 28451.014237
1.410000; 187702.765940; 27358.939147
1.420000; 187976.355332; 25386.687977
1.430000; 188230.222211; 26776.777247
1.440000; 188497.989984; 21046.013842
1.450000; 188708.450122; 21372.438591
1.460000; 188922.174508; 19811.760972
1.470000; 189120.292118; 21676.737386
1.480000; 189337.059492; 30243.186324
1.490000; 189639.491355; 33060.006676
1.500000; 189970.091422; 36879.610062
1.510000; 190338.887522; 28334.150316
1.520000; 190622.229025; 25505.165350
1.530000; 190877.280679; 20527.613656
1.540000; 191082.556816; 19826.804598
1.550000; 191280.824862; 22309.898280
1.560000; 191503.923844; 23649.946280
1.570000; 191740.423307; 27934.146841
1.580000; 192019.764776; 27590.487843
1.590000; 192295.669654; 29116.268141
1.600000; 192586.832335; 31810.555983
1.610000; 192904.937895; 35653.282056
1.620000; 193261.470716; 34931.160942
1.630000; 193610.782325; 33708.311098
1.640000; 193947.865436; 29676.577724
1.650000; 194244.631213; 27691.467089
1.660000; 194521.545884; 27505.678544
1.670000; 194796.602670; 25925.771713
1.680000; 195055.860387; 27578.732796
1.690000; 195331.647715; 32726.123516
1.700000; 195658.908950; 33031.542127
1.710000; 195989.224371; 36053.547036
1.720000; 196349.759842; 41008.818185
1.730000; 196759.848023; 37828.119768
1.740000; 197138.129221; 39618.414978
1.750000; 197534.313371; 33762.605587
1.760000; 197871.939427; 35559.824095
1.770000; 198227.537668; 33851.740681
1.780000; 198566.055075; 34282.090139
1.790000; 198908.875976; 35244.539000
1.800000; 199261.321366; 32489.817017
1.810000; 199586.219536; 32331.801534
1.820000; 199909.537551; 38270.316874
1.830000; 200292.240720; 37623.525275
1.840000; 200668.475973; 37347.738214
1.850000; 201041.953355; 36767.502043
1.860000; 201409.628376; 30240.331738
1.870000; 201712.031693; 26109.475069
1.880000; 201973.126444; 27873.461194
1.890000; 202251.861056; 27865.677539
1.900000; 202530.517831; 27901.045602
1.910000; 202809.528287; 30649.171793
1.920000; 203116.020005; 31364.755509
1.930000; 203429.667560; 33560.226560
1.940000; 203765.269826; 34730.745903
1.950000; 204112.577285; 26535.286265
1.960000; 204377.930147; 27233.204272
1.970000; 204650.262190; 24572.156496
1.980000; 204895.983755; 32693.936887
1.990000; 205222.923124; 32510.673888
2.000000; 205548.029863; 24668.565130
2.010000; 205794.715514; 22946.005792
2.020000; 206024.175572; 26273.325528
2.030000; 206286.908827; 24430.203305
2.040000; 206531.210860; 23637.127817
2.050000; 206767.582138; 24349.017306
2.060000; 207011.072311; 25616.492968
2.070000; 207267.237241; 29045.630759
2.080000; 207557.693549; 33879.274954
2.090000; 207896.486298; 36024.957851
2.100000; 208256.735877; 32223.863291
2.110000; 208578.974510; 29433.593893
2.120000; 208873.310449; 28862.191953
2.130000; 209161.932368; 27001.274832
2.140000; 209431.945116; 27880.757214
2.150000; 209710.752689; 27488.066116
2.160000; 209985.633350; 24149.925364
2.170000; 210227.132603; 20253.357378
2.180000; 210429.666177; 22239.763851
2.190000; 210652.063816; 16722.122974
2.200000; 210819.285045; 19792.448954
2.210000; 211017.209535; 26776.596397
2.220000; 211284.975499; 30603.507311
2.230000; 211591.010572; 30321.339812
2.240000; 211894.223970; 23760.172883
2.250000; 212131.825699; 31772.470704
2.260000; 212449.550406; 32138.232324
2.270000; 212770.932729; 33599.011338
2.280000; 213106.922843; 25878.091310
2.290000; 213365.703756; 23883.161782
2.300000; 213604.535374; 28900.523200
2.310000; 213893.540606; 30892.844296
2.320000; 214202.469049; 33084.029302
2.330000; 214533.309342; 30940.605106
2.340000; 214842.715393; 25821.160096
2.350000; 215100.926994; 27085.643005
2.360000; 215371.783424; 22749.211631
2.370000; 215599.275540; 22705.832056
2.380000; 215826.333861; 19535.256930
2.390000; 216021.686430; 21066.157393
2.400000; 216232.348004; 21330.339071
2.410000; 216445.651394; 22619.470481
2.420000; 216671.846099; 26051.298505
2.430000; 216932.359084; 28811.584090
2.440000; 217220.474925; 25994.128733
2.450000; 217480.416213; 19616.611190
2.460000; 217676.582324; 13774.875095
2.470000; 217814.331075; 14354.751592
2.480000; 217957.878591; 15585.089581
2.490000; 218113.729487; 19675.805625
2.500000; 218310.487543; 17803.636037
2.510000; 218488.523904; 14296.525258
2.520000; 218631.489156; 8206.449333
2.530000; 218713.553650; 12726.762263
2.540000; 218840.821272; 9594.212022
2.550000; 218936.763393; 10242.739923
2.560000; 219039.190792; 12982.749928
2.570000; 219169.018291; 12369.643887
2.580000; 219292.714730; 14510.854196
2.590000; 219437.823272; 13593.831016
2.600000; 219573.761582; 12663.479934
2.610000; 219700.396381; 16377.512662
2.620000; 219864.171508; 15059.666631
2.630000; 220014.768174; 19084.918577
2.640000; 220205.617360; 19198.039047
2.650000; 220397.597751; 23660.067143
2.660000; 220634.198422; 19514.673659
2.670000; 220829.345159; 21175.653634
2.680000; 221041.101695; 23057.693048
2.690000; 221271.678625; 25153.427236
2.700000; 221523.212898; 27974.157301
2.710000; 221802.954471; 28707.760591
2.720000; 222090.032077; 24396.270323
2.730000; 222333.994780; 27289.256505
2.740000; 222606.887345; 29575.972481
2.750000; 222902.647070; 23677.300130
2.760000; 223139.420071; 30381.874074
2.770000; 223443.238812; 30221.411206
2.780000; 223745.452924; 29701.503880
2.790000; 224042.467963; 27590.330870
2.800000; 224318.371271; 20362.401774
2.810000; 224521.995289; 22550.918913
2.820000; 224747.504478; 20701.655014
2.830000; 224954.521028; 23119.181079
2.840000; 225185.712839; 29576.957493
2.850000; 225481.482414; 29247.882640
2.860000; 225773.961240; 26828.728931
2.870000; 226042.248530; 27585.189630
2.880000; 226318.100426; 26296.439092
2.890000; 226581.064817; 18900.671236
2.900000; 226770.071529; 16131.305141
2.910000; 226931.384581; 20491.643770
2.920000; 227136.301018; 23723.522228
2.930000; 227373.536241; 19365.126234
2.940000; 227567.187503; 17389.078323
2.950000; 227741.078286; 14497.437727
2.960000; 227886.052664; 16259.895053
2.970000; 228048.651614; 18194.776560
2.980000; 228230.599380; 23470.696395
2.990000; 228465.306344; 22596.396092
3.000000; 228691.270305; 22119.612289
3.010000; 228912.466427; 19289.235354
3.020000; 229105.358781; 23467.239866
3.030000; 229340.031180; 17693.827855
3.040000; 229516.969458; 20487.160275
3.050000; 229721.841061; 16942.757271
3.060000; 229891.268634; 7611.217233
3.070000; 229967.380806; 9782.924966
3.080000; 230065.210056; 15783.296140
3.090000; 230223.043017; 18764.362633
3.100000; 230410.686643; 22645.928824
3.110000; 230637.145932; 23865.481307
3.120000; 230875.800745; 24040.955729
3.130000; 231116.210302; 22944.008354
3.140000; 231345.650386; 19119.850555
3.150000; 231536.848891; 18716.184691
3.160000; 231724.010738; 24564.504938
3.170000; 231969.655787; 18445.442049
3.180000; 232154.110208; 20030.423372
3.190000; 232354.414442; 16187.956737
3.200000; 232516.294009; 20583.728252
3.210000; 232722.131291; 27721.716253
3.220000; 232999.348454; 26835.196481
3.230000; 233267.700419; 30454.607880
3.240000; 233572.246498; 26568.131578
3.250000; 233837.927813; 21009.302489
3.260000; 234048.020838; 15143.937077
3.270000; 234199.460209; 19089.448299
3.280000; 234390.354692; 21993.990230
3.290000; 234610.294594; 16577.962078
3.300000; 234776.074215; 14995.837875
3.310000; 234926.032594; 18879.944860
3.320000; 235114.832042; 22120.634258
3.330000; 235336.038385; 15169.202071
3.340000; 235487.730406; 17191.117845
3.350000; 235659.641584; 19190.931670
3.360000; 235851.550901; 20519.603699
3.370000; 236056.746938; 22110.097005
3.380000; 236277.847908; 11451.183375
3.390000; 236392.359742; 15862.478574
3.400000; 236550.984527; 12881.323069
3.410000; 236679.797758; 18225.638861
3.420000; 236862.054147; 18086.208257
3.430000; 237042.916229; 18502.105259
3.440000; 237227.937282; 18162.681286
3.450000; 237409.564095; 20041.824683
3.460000; 237609.982342; 16334.452210
3.470000; 237773.326864; 19971.795524
3.480000; 237973.044819; 21252.756203
3.490000; 238185.572381; 23991.273410
3.500000; 238425.485115; 18324.384438
3.510000; 238608.728959; 22202.272326
3.520000; 238830.751683; 23428.185286
3.530000; 239065.033536; 18016.202671
3.540000; 239245.195562; 24996.139045
3.550000; 239495.156953; 18744.982635
3.560000; 239682.606779; 15231.129481
3.570000; 239834.918074; 15580.039483
3.580000; 239990.718469; 19277.949218
3.590000; 240183.497961; 15991.381961
3.600000; 240343.411780; 22183.438364
3.610000; 240565.246164; 20535.123042
3.620000; 240770.597395; 18983.417401
3.630000; 240960.431569; 19813.350033
3.640000; 241158.565069; 15032.106662
3.650000; 241308.886136; 17179.058813
3.660000; 241480.676724; 20198.153809
