# tau [ps];  MSD [pm^2];  Derivative
0.000000; 0.000000; 1414678.956887
0.010000; 14146.789569; 1373703.165016
0.020000; 27883.821219; 1282467.525976
0.030000; 40708.496479; 1141675.331329
0.040000; 52125.249792; 1027257.424978
0.050000; 62397.824042; 919256.140198
0.060000; 71590.385444; 834926.762698
0.070000; 79939.653071; 750826.338322
0.080000; 87447.916454; 691332.688773
0.090000; 94361.243342; 646817.548614
0.100000; 100829.418828; 614472.719688
0.110000; 106974.146025; 581362.795837
0.120000; 112787.773983; 556219.799004
0.130000; 118349.971973; 536461.326979
0.140000; 123714.585243; 524122.396831
0.150000; 128955.809211; 506085.264580
0.160000; 134016.661857; 484044.084415
0.170000; 138857.102701; 465430.462907
0.180000; 143511.407330; 440524.877326
0.190000; 147916.656104; 419253.862963
0.200000; 152109.194733; 395229.718632
0.210000; 156061.491920; 370453.504030
0.220000; 159766.026960; 356647.967738
0.230000; 163332.506637; 336714.822514
0.240000; 166699.654862; 317953.414405
0.250000; 169879.189006; 303722.355864
0.260000; 172916.412565; 293653.418676
0.270000; 175852.946752; 282729.609560
0.280000; 178680.242847; 271146.247356
0.290000; 181391.705321; 250534.485626
0.300000; 183897.050177; 236827.712436
0.310000; 186265.327302; 225909.126173
0.320000; 188524.418563; 215351.446685
0.330000; 190677.933030; 201905.690203
0.340000; 192696.989932; 190206.504979
0.350000; 194599.054982; 178792.531968
0.360000; 196386.980302; 171509.209110
0.370000; 198102.072393; 164370.751803
0.380000; 199745.779911; 160335.153249
0.390000; 201349.131443; 143352.207583
0.400000; 202782.653519; 140340.430723
0.410000; 204186.057826; 139352.015171
0.420000; 205579.577978; 129510.977376
0.430000; 206874.687752; 120577.161777
0.440000; 208080.459370; 115563.792792
0.450000; 209236.097298; 115859.384048
0.460000; 210394.691138; 117250.500455
0.470000; 211567.196143; 111857.848521
0.480000; 212685.774628; 105979.713173
0.490000; 213745.571759; 99118.969711
0.500000; 214736.761457; 101183.317106
0.510000; 215748.594628; 101871.602448
0.520000; 216767.310652; 94440.495187
0.530000; 217711.715604; 93636.478194
0.540000; 218648.080386; 95222.315008
0.550000; 219600.303536; 97631.024241
0.560000; 220576.613778; 96712.681386
0.570000; 221543.740592; 96618.832230
0.580000; 222509.928915; 98949.244147
0.590000; 223499.421356; 99695.835555
0.600000; 224496.379712; 98174.898971
0.610000; 225478.128701; 97135.896080
0.620000; 226449.487662; 94991.128589
0.630000; 227399.398948; 91965.212904
0.640000; 228319.051077; 90046.776749
0.650000; 229219.518845; 86583.393698
0.660000; 230085.352781; 87136.364963
0.670000; 230956.716431; 86042.303513
0.680000; 231817.139466; 91347.223889
0.690000; 232730.611705; 89805.815360
0.700000; 233628.669859; 92188.098753
0.710000; 234550.550846; 92369.049980
0.720000; 235474.241346; 90876.846688
0.730000; 236383.009813; 92131.301735
0.740000; 237304.322830; 82692.973192
0.750000; 238131.252562; 85981.846896
0.760000; 238991.071031; 87002.508004
0.770000; 239861.096111; 79077.618974
