1.5 2.19 0.000496329 0.000248005   1.76727 2.06351 1.14945   0.160789 0.000203859 0.000101832 1.09848e-10 0.000203859 0.000101832 1.09848e-10
1.9 0.976304 0.000496329 0.000248005   1.76727 2.06351 1.14945   0.160789 0.000203859 0.000101832 1.09848e-10 0.000203859 0.000101832 1.09848e-10
2.0 0.693455 0.000449108 0.000224447   1.69626 1.98168 1.13035   0.140245 0.000203106 0.000101483 8.1596e-11 0.000203106 0.000101483 8.1596e-11
2.1 0.451095 0.000408443 0.000204148   1.63856 1.91525 1.11465   0.123612 0.00020254 0.000101219 6.1481e-11 0.00020254 0.000101219 6.1481e-11
2.2 0.241574 0.000373134 0.000186516   1.59107 1.86061 1.10157   0.109972 0.000202108 0.000101016 4.69254e-11 0.000202108 0.000101016 4.69254e-11
2.3 0.0590433 0.000342255 0.000171092   1.55151 1.81514 1.09056   0.0986603 0.00020177 0.000100857 3.62393e-11 0.00020177 0.000100857 3.62393e-11
2.4 -0.104131 0.000313862 0.000156931   1.51823 1.77691 1.08119   0.0891851 0.000201504 0.00010073 2.82866e-11 0.000201504 0.00010073 2.82866e-11
2.5 -0.244561 0.000290116 0.000145058   1.48998 1.74447 1.07315   0.0811781 0.00020129 0.000100628 2.22976e-11 0.00020129 0.000100628 2.22976e-11
2.6 -0.369304 0.000268948 0.000134474   1.4658 1.71671 1.06619   0.0743566 0.000201116 0.000100545 1.77368e-11 0.000201116 0.000100545 1.77368e-11
2.7 -0.480625 0.000250001 0.000125   1.44495 1.69277 1.06012   0.0685029 0.000200973 0.000100476 1.4228e-11 0.000200973 0.000100476 1.4228e-11
2.8 -0.580393 0.000232977 0.000116489   1.42684 1.67199 1.0548   0.0634459 0.000200855 0.000100419 1.1491e-11 0.000200855 0.000100419 1.1491e-11
2.9 -0.670161 0.000217627 0.000108813   1.41102 1.65384 1.0501   0.0590514 0.000200755 0.000100371 9.35949e-12 0.000200755 0.000100371 9.35949e-12
3 -0.751227 0.000203738 0.000101869   1.39712 1.63788 1.04594   0.0552108 0.000200672 0.00010033 7.67494e-12 0.000200672 0.00010033 7.67494e-12
3.1 -0.824685 0.000191133 9.55666e-05   1.38484 1.62378 1.04222   0.0518366 0.0002006 0.000100296 6.33347e-12 0.0002006 0.000100296 6.33347e-12
3.2 -0.891462 0.000179659 8.98294e-05   1.37394 1.61126 1.0389   0.0488583 0.000200539 0.000100266 5.25756e-12 0.000200539 0.000100266 5.25756e-12
3.3 -0.952347 0.000169184 8.45922e-05   1.36422 1.6001 1.0359   0.0462174 0.000200486 0.00010024 4.38883e-12 0.000200486 0.00010024 4.38883e-12
3.4 -1.00802 0.000159597 7.97986e-05   1.35551 1.59009 1.0332   0.0438664 0.00020044 0.000100217 3.68296e-12 0.00020044 0.000100217 3.68296e-12
3.5 -1.05905 0.000150801 7.54003e-05   1.34768 1.58109 1.03075   0.041765 0.0002004 0.000100198 3.10598e-12 0.0002004 0.000100198 3.10598e-12
3.6 -1.10595 0.00014271 7.13549e-05   1.34062 1.57296 1.02852   0.0398799 0.000200364 0.00010018 2.6317e-12 0.000200364 0.00010018 2.6317e-12
3.7 -1.14915 0.000135252 6.76259e-05   1.33423 1.5656 1.02649   0.0381831 0.000200333 0.000100165 2.23977e-12 0.000200333 0.000100165 2.23977e-12
4 -1.26014 0.000116071 5.80356e-05   1.31829 1.54723 1.02136   0.0340027 0.000200259 0.000100129 1.41483e-12 0.000200259 0.000100129 1.41483e-12
5 -1.49838 7.48173e-05 3.74086e-05   1.28652 1.51039 1.01074   0.0259492 0.000200129 0.000100064 3.78535e-13 0.000200129 0.000100064 3.78535e-13
6 -1.62884 5.21958e-05 2.60979e-05   1.27056 1.49172 1.00514   0.0221242 0.000200074 0.000100037 1.28479e-13 0.000200074 0.000100037 1.28479e-13
