#time (ps)	H2O
19.55	1.98853099656357E-5
19.525	3.66311388316151E-5
19.5	-1.03408054982818E-5
19.475	-4.0201160137457E-5
19.45	-1.94485828178694E-5
19.425	-3.95442391752577E-5
19.4	-1.71843773195876E-4
19.375	-9.38507697594502E-5
19.35	-3.1416735395189E-6
19.325	-1.95898281786942E-6
19.3	-1.3849769072165E-4
19.275	-4.95312405498282E-5
19.25	-3.09221793814433E-5
19.225	-3.6130987628866E-5
19.2	-3.21452962199313E-5
19.175	-5.10221457044674E-5
19.15	-6.07288041237113E-6
19.125	-1.76287676975945E-5
19.1	9.15095051546392E-5
19.075	-1.90136838487973E-6
19.05	1.80389635738832E-5
19.025	-6.4191839862543E-5
19	-5.66800206185567E-6
18.975	-3.93750920962199E-5
18.95	-6.15371670103093E-5
18.925	-5.13095491408935E-5
18.9	-6.26056446735395E-5
18.875	4.58205986254296E-5
18.85	-1.24899553264605E-4
18.825	-7.38705567010309E-5
18.8	4.93604948453608E-5
18.775	-8.90373195876289E-5
18.75	2.31332542955326E-5
18.725	1.176224604811E-5
18.7	-5.66637457044673E-5
18.675	9.97761718213058E-6
18.65	-3.3879987628866E-5
18.625	1.07743505154639E-4
18.6	-3.34159175257732E-6
18.575	-8.10916494845361E-6
18.55	-3.37660838487972E-5
18.525	-1.48779848797251E-5
18.5	6.29145793814433E-5
18.475	1.24396494845361E-4
18.45	1.24618611683849E-4
18.425	-2.91489608247423E-5
18.4	4.91054611683849E-5
18.375	-8.76875395189003E-5
18.35	-1.18612989690722E-5
18.325	-3.16226859106529E-5
18.3	-8.9888824742268E-6
18.275	7.57206804123711E-6
18.25	-4.1003064604811E-5
18.225	2.48190549828179E-5
18.2	-6.29567656357388E-5
18.175	-1.97978756013746E-5
18.15	-1.09860659793814E-5
18.125	2.786835395189E-5
18.1	1.53468316151203E-5
18.075	2.88864742268041E-5
18.05	7.26838487972508E-5
18.025	-3.83957470790378E-5
18	3.9111593814433E-5
17.975	-2.80518536082474E-5
17.95	-7.72526666666667E-6
17.925	8.05147216494845E-5
17.9	-4.95786240549828E-5
17.875	1.40214996563574E-5
17.85	1.37352213058419E-4
17.825	3.10011347079038E-5
17.8	-2.54633457044674E-5
17.775	4.88687395189003E-5
17.75	9.5679175257732E-5
17.725	1.78160701030928E-5
17.7	-1.81061408934708E-5
17.675	-5.42111711340206E-5
17.65	3.92906735395189E-5
17.625	-1.8309683161512E-4
17.6	4.48435017182131E-5
17.575	-5.56106673539519E-5
17.55	-1.52146666666667E-5
17.525	4.80321951890034E-5
17.5	-3.15388144329897E-5
17.475	2.60976632302405E-6
17.45	-7.26842680412371E-5
17.425	-1.29961683848797E-5
17.4	4.7381276975945E-5
17.375	5.25332914089347E-5
17.35	2.52266749140894E-4
17.325	2.17344542955326E-4
17.3	2.13894494845361E-4
17.275	1.76373656357388E-4
17.25	3.53347663230241E-4
17.225	3.40736797250859E-4
17.2	2.3562695532646E-4
17.175	1.83811271477663E-4
17.15	-5.83258762886598E-6
17.125	-7.30104673539519E-5
17.1	-8.43718556701031E-5
17.075	-2.39831525773196E-4
17.05	-1.18560604810997E-4
17.025	-2.41324742268041E-4
17	-1.14519113402062E-4
16.975	-1.63227580756014E-4
16.95	-1.70830206185567E-4
16.925	-1.27929690721649E-5
16.9	-5.24232714776632E-6
16.875	-1.10968659793814E-4
16.85	4.19180611683849E-5
16.825	-9.78261443298969E-5
16.8	-1.26253512027491E-4
16.775	-1.59494618556701E-4
16.75	-5.75096130584192E-5
16.725	-4.79844034364261E-5
16.7	-1.54523182130584E-5
16.675	-3.16834501718213E-6
16.65	-6.69476E-5
16.625	-7.89570996563574E-5
16.6	2.94746439862543E-5
16.575	-3.28626865979382E-5
16.55	-3.11168577319588E-5
16.525	1.16582927835052E-4
16.5	-9.60135120274914E-5
16.475	4.99623367697594E-6
16.45	-1.94091381443299E-5
16.425	-1.27456432989691E-4
16.4	9.64997250859107E-7
16.375	-2.74541209621993E-5
16.35	6.14161065292096E-5
16.325	-9.69913264604811E-5
16.3	-1.01388453608247E-4
16.275	7.48680274914089E-5
16.25	1.25722453608247E-4
16.225	-1.42148804123711E-5
16.2	-1.09467127147766E-5
16.175	1.21746886597938E-4
16.15	5.41428852233677E-5
16.125	-1.47467986254296E-4
16.1	1.85293896907216E-5
16.075	1.27589312714777E-4
16.05	9.36169278350515E-5
16.025	-6.57561429553265E-5
16	-1.47443326460481E-5
15.975	3.82475443298969E-5
15.95	-1.07672783505155E-6
15.925	2.71941890034364E-5
15.9	3.14451725085911E-5
15.875	-4.46557319587629E-5
15.85	-8.5142206185567E-5
15.825	-2.80417360824742E-5
15.8	-3.28842206185567E-5
15.775	1.03918652920962E-4
15.75	5.08473017182131E-5
15.725	-2.06907182130584E-5
15.7	-2.01957457044674E-5
15.675	9.72463024054983E-5
15.65	-5.81405223367698E-6
15.625	-3.07520701030928E-5
15.6	4.7309224742268E-5
15.575	-4.57793608247423E-6
15.55	-1.02992240549828E-4
15.525	3.38986034364261E-5
15.5	-3.15706852233677E-5
15.475	-2.15601484536082E-4
15.45	-8.66391615120275E-5
15.425	-4.10514082474227E-5
15.4	7.91229072164948E-6
15.375	-9.26319106529209E-5
15.35	-1.10181615120275E-4
15.325	-8.13869896907217E-5
15.3	1.49038597938144E-5
15.275	-1.10314116838488E-5
15.25	-1.39973553264605E-4
15.225	-7.81486872852233E-5
15.2	-1.02288762886598E-4
15.175	-5.46467154639175E-5
15.15	-5.88898900343643E-5
15.125	5.06057690721649E-5
15.1	5.05701567010309E-5
15.075	1.32204529209622E-5
15.05	7.8701676975945E-5
15.025	1.65784274914089E-4
15	-1.82444618556701E-5
14.975	-2.10894089347079E-6
14.95	1.026575395189E-5
14.925	5.58349532646048E-5
14.9	2.29471079037801E-5
14.875	-8.89462405498282E-5
14.85	-1.53385525773196E-5
14.825	-7.8309560137457E-5
14.8	7.25001512027491E-6
14.775	4.03353642611684E-5
14.75	-4.38748206185567E-5
14.725	4.4810529209622E-5
14.7	-1.11346048109966E-4
14.675	1.76877553264605E-5
14.65	-1.62633202749141E-5
14.625	-1.30121615120275E-4
14.6	4.61334941580756E-5
14.575	-4.06844329896907E-6
14.55	4.92801367697594E-5
14.525	4.0862393814433E-5
14.5	2.37660453608247E-4
14.475	-3.5900929209622E-5
14.45	-1.92554439862543E-5
14.425	3.83639264604811E-5
14.4	-5.6292304467354E-5
14.375	1.91985422680412E-5
14.35	-7.38102405498282E-7
14.325	3.05513697594502E-5
14.3	1.36305333333333E-5
14.275	4.4223787628866E-5
14.25	8.51538075601374E-5
14.225	-1.33960151202749E-4
14.2	7.07870515463917E-5
14.175	1.26360371134021E-4
14.15	-2.65082302405498E-5
14.125	1.34561553264605E-5
14.1	-2.95993883161512E-5
14.075	2.6058470790378E-5
14.05	-6.02121958762887E-5
14.025	-2.4805883161512E-5
14	3.86114226804124E-5
13.975	5.52699683848797E-5
13.95	-4.2860489347079E-5
13.925	6.1365064604811E-5
13.9	2.45404494845361E-5
13.875	-2.81707670103093E-5
