time (ps)	KCl /4M	time (ps)	KCl /2M
-4.9	-2.8534112E-5	-5.05	2.6896131E-4
-4.875	2.0083365536E-4	-5.025	1.1807769584E-4
-4.85	2.03276719314286E-4	-5	2.35187133714286E-5
-4.825	2.58504338514286E-4	-4.975	-3.43257723714286E-5
-4.8	2.14979009885714E-4	-4.95	-2.96650493142857E-5
-4.775	8.1997524E-5	-4.925	-8.03946357428571E-5
-4.75	-2.95585714285778E-8	-4.9	-9.56401446857143E-5
-4.725	-7.80384715428571E-5	-4.875	-8.27346156285714E-5
-4.7	-1.75383111028571E-4	-4.85	-5.05592907428571E-5
-4.675	-1.685201196E-4	-4.825	-5.68290508E-5
-4.65	-9.81223096E-5	-4.8	-5.28709456571429E-5
-4.625	-1.59734103885714E-4	-4.775	-1.30845418171429E-4
-4.6	-1.065362992E-4	-4.75	-2.52494438571429E-4
-4.575	-7.88229142857165E-7	-4.725	-2.77553708E-4
-4.55	-2.83957197142857E-5	-4.7	-2.63475250285714E-4
-4.525	-9.16068088571428E-5	-4.675	-1.73708322285714E-4
-4.5	-1.14419057428571E-4	-4.65	-8.93774197142857E-5
-4.475	-2.44305266571429E-4	-4.625	-3.8413122E-5
-4.45	-2.45907893428571E-4	-4.6	-7.53606017142857E-5
-4.425	-1.08696119428571E-4	-4.575	-1.62797792E-4
-4.4	-6.0452502E-5	-4.55	-2.38236497285714E-4
-4.375	-7.55792062857143E-5	-4.525	-2.23279677771429E-4
-4.35	-2.17519494285714E-5	-4.5	-1.38505720685714E-4
-4.325	-4.25899311428571E-5	-4.475	-1.02724668742857E-4
-4.3	-8.86697044571428E-5	-4.45	-9.32981148E-5
-4.275	-2.21607919428571E-5	-4.425	-1.18676625571429E-4
-4.25	-5.57385187428571E-5	-4.4	-1.22329651114286E-4
-4.225	-1.33055954E-4	-4.375	-1.34192832028571E-4
-4.2	-8.26989849142857E-5	-4.35	-1.77771178742857E-4
-4.175	-2.54006996E-5	-4.325	-2.06127798971429E-4
-4.15	-3.72080682285714E-5	-4.3	-2.40467984857143E-4
-4.125	3.81792700571429E-5	-4.275	-1.49655147571429E-4
-4.1	2.42625446857143E-5	-4.25	-5.73909337142857E-5
-4.075	-2.74950010857143E-5	-4.225	4.01379261428572E-5
-4.05	1.62158731428572E-6	-4.2	5.1180911E-5
-4.025	3.57136797714286E-5	-4.175	6.10115054285714E-5
-4	-4.66330998857143E-5	-4.15	4.20650487142857E-5
-3.975	-6.71132713714286E-5	-4.125	5.33129925714286E-5
-3.95	-4.8864548E-5	-4.1	-5.06317642857143E-6
-3.925	-1.12317730914286E-4	-4.075	-3.46441225714286E-5
-3.9	-1.29713007828571E-4	-4.05	-2.81571094285714E-5
-3.875	-9.294223E-5	-4.025	3.05184757142856E-6
-3.85	-1.48598859028571E-4	-4	2.15936398285714E-5
-3.825	-1.59343660228571E-4	-3.975	-7.14760322857143E-6
-3.8	-7.22085962857143E-5	-3.95	-1.231638316E-4
-3.775	-6.01459920571429E-5	-3.925	-2.39732498142857E-4
-3.75	-7.52989846857143E-5	-3.9	-3.28904141714286E-4
-3.725	-2.80212922857143E-5	-3.875	-3.40697755428571E-4
-3.7	-1.07016610285714E-4	-3.85	-2.76532025714286E-4
-3.675	-1.9492174E-4	-3.825	-2.05436939142857E-4
-3.65	-1.82397420285714E-4	-3.8	-1.39269264571429E-4
-3.625	-1.30803651714286E-4	-3.775	-1.0363385E-4
-3.6	-1.33618716857143E-4	-3.75	-1.56134767714286E-4
-3.575	-5.81738371428572E-5	-3.725	-2.61341563714286E-4
-3.55	-7.97800256E-5	-3.7	-3.13482353714286E-4
-3.525	-1.39911569942857E-4	-3.675	-3.42855577714286E-4
-3.5	-1.346164876E-4	-3.65	-2.99013036142857E-4
-3.475	-5.9229462E-5	-3.625	-1.76505965085714E-4
-3.45	-7.75164125142857E-5	-3.6	-4.98405501142857E-5
-3.425	-3.97279158285714E-5	-3.575	1.02918374742857E-4
-3.4	-4.99351533714286E-5	-3.55	1.85254278628571E-4
-3.375	-9.20415951428571E-5	-3.525	1.76099579885714E-4
