time (ps)	Na2CO3 / 0.25M	time (ps)	Na2CO3 / 0.1M
-5.06	-2.8964938E-5	14.6	1.8793936E-4
-5.035	-2.641103704E-5	14.575	7.985298748E-5
-5.01	1.17599080942857E-4	14.55	6.74738300571429E-5
-4.985	1.54758431685714E-4	14.525	5.46923421142857E-5
-4.96	2.14842661171429E-4	14.5	4.58893578571429E-5
-4.935	1.24291339285714E-4	14.475	9.72748528571429E-6
-4.91	1.61278984285715E-5	14.45	-4.03567246E-5
-4.885	-1.35794264971429E-4	14.425	-9.54645714571428E-5
-4.86	-5.67437836285714E-5	14.4	-1.55676216428571E-4
-4.835	5.23943841714286E-5	14.375	-1.79677043714286E-4
-4.81	1.27143733E-4	14.35	-1.55071693E-4
-4.785	7.12187400000001E-6	14.325	-1.74128733657143E-4
-4.76	8.80069457142858E-6	14.3	-1.88841797971429E-4
-4.735	-6.37997335714286E-5	14.275	-1.540134808E-4
-4.71	-2.18236956171429E-4	14.25	-1.77904711285714E-4
-4.685	-1.55280230657143E-4	14.225	-1.59205874142857E-4
-4.66	-2.957805396E-4	14.2	-1.31971181085714E-4
-4.635	-4.42698764857143E-4	14.175	-1.30129209114286E-4
-4.61	-2.960111228E-4	14.15	-9.98936965142857E-5
-4.585	-1.46662312257143E-4	14.125	-3.26282227142857E-5
-4.56	-9.76072948E-5	14.1	-5.23502471428572E-6
-4.535	7.51818405428571E-5	14.075	2.30665523428571E-5
-4.51	8.62420394857143E-5	14.05	-3.53152668285714E-5
-4.485	-1.26997670285714E-5	14.025	-1.53952768514286E-4
-4.46	8.78963085714284E-6	14	-1.93838624514286E-4
-4.435	-5.56561797142857E-5	13.975	-2.48270043051429E-4
-4.41	-1.16696362571429E-4	13.95	-2.21139389325714E-4
-4.385	-1.16808058E-4	13.925	-1.59406404708571E-4
-4.36	-2.063027356E-4	13.9	-1.10912310057143E-4
-4.335	-3.77119924228571E-4	13.875	-8.75291038E-5
-4.31	-5.27196572171428E-4	13.85	-5.95184015142857E-5
-4.285	-6.15449417714285E-4	13.825	-8.55612261142857E-5
-4.26	-5.21749036E-4	13.8	-3.63157916E-5
-4.235	-3.9194896E-4	13.775	1.91172803142857E-5
-4.21	-2.96442528142857E-4	13.75	6.58794154285714E-5
-4.185	-2.38220020971429E-4	13.725	9.47801525428571E-5
-4.16	-2.51944760485714E-4	13.7	5.27729475428571E-5
-4.135	-3.81129247542857E-4	13.675	-4.39170077714286E-5
-4.11	-4.15213064142857E-4	13.65	-1.15934233828571E-4
-4.085	-4.97101304571429E-4	13.625	-1.14565557857143E-4
-4.06	-4.58183552571429E-4	13.6	-4.19509451428571E-5
-4.035	-3.47817255571429E-4	13.575	4.86308417142857E-5
-4.01	-1.599887456E-4	13.55	1.60283862857143E-4
-3.985	-1.37908144942857E-4	13.525	1.67818617428571E-4
-3.96	-1.12067824457143E-4	13.5	7.4227778E-5
-3.935	-2.02654877E-4	13.475	1.89894762857143E-5
-3.91	-1.45952655714286E-4	13.45	-3.959971E-5
