#time (ps)	NaSO4 0.75 M	time (ps)	NaSO4 0.35 M
-5.025	2.56714E-4	-4.875	1.3304046E-4
-5	-6.1796826E-5	-4.85	1.118861732E-4
-4.975	-5.81522367771428E-5	-4.825	5.79098611428569E-6
-4.95	-2.12213262028571E-5	-4.8	-8.24213268E-5
-4.925	9.341250688E-5	-4.775	-1.39427978457143E-4
-4.9	1.55563233757143E-4	-4.75	-1.00403910228571E-4
-4.875	1.32849814257143E-4	-4.725	-5.76800528E-5
-4.85	5.83261328571428E-6	-4.7	4.11092978285714E-5
-4.825	-1.81814655914286E-4	-4.675	1.33364426228571E-4
-4.8	-3.17625237628571E-4	-4.65	2.59771615828571E-4
-4.775	-2.94287377285714E-4	-4.625	2.88311551428571E-4
-4.75	-1.17873404571429E-4	-4.6	2.66493785142857E-4
-4.725	-6.56618417142858E-5	-4.575	1.57807212857143E-4
-4.7	-9.03402197142857E-5	-4.55	-1.59186411428571E-5
-4.675	-1.34566442571429E-4	-4.525	-1.24483182285714E-4
-4.65	-1.89562452542857E-4	-4.5	-8.7941704E-5
-4.625	-7.3747412E-5	-4.475	-2.66188697142857E-5
-4.6	1.11445637342857E-4	-4.45	2.14742065714286E-5
-4.575	7.57420043428571E-5	-4.425	2.70047391428571E-5
-4.55	4.00416478571429E-5	-4.4	-4.6316848E-5
-4.525	-9.34343385714286E-6	-4.375	-6.60326393142857E-5
-4.5	-1.70464502457143E-4	-4.35	-3.64104508E-5
-4.475	-1.28039192657143E-4	-4.325	2.94514322571428E-5
-4.45	-5.13679313142857E-5	-4.3	7.15010868285714E-5
-4.425	-1.42549501285714E-4	-4.275	6.07649631142857E-5
-4.4	-1.55146084285714E-4	-4.25	4.16204941428571E-5
-4.375	-4.96744434285714E-5	-4.225	6.31943752857143E-5
-4.35	-1.63076354285714E-4	-4.2	1.23269369971429E-4
-4.325	-1.85300330571429E-4	-4.175	1.25625385942857E-4
-4.3	-7.22699006857143E-5	-4.15	8.82928391428571E-5
-4.275	-9.90210246285714E-5	-4.125	2.18464505714286E-5
-4.25	-1.591376204E-4	-4.1	-9.21958037142857E-5
-4.225	-1.63461914E-4	-4.075	-1.39534334142857E-4
-4.2	-2.16054313857143E-4	-4.05	-1.13165585028571E-4
-4.175	-2.83762749828571E-4	-4.025	-5.66451899142857E-5
-4.15	-3.139296462E-4	-4	4.7337629142857E-6
-4.125	-3.80417507828571E-4	-3.975	9.26720846E-5
-4.1	-5.30820461285714E-4	-3.95	1.28333420571429E-4
-4.075	-6.50680649714286E-4	-3.925	2.08749597428571E-4
-4.05	-6.69742791428571E-4	-3.9	1.82465914571429E-4
-4.025	-7.44970108571429E-4	-3.875	1.83120610285714E-4
-4	-7.20968488571428E-4	-3.85	1.57309999714286E-4
-3.975	-5.87211943142857E-4	-3.825	1.72242768914286E-4
-3.95	-5.80137006571429E-4	-3.8	1.81421517314286E-4
-3.925	-3.57605770285714E-4	-3.775	2.09772882485714E-4
-3.9	-1.59987373428571E-4	-3.75	1.602854364E-4
-3.875	-1.22797709714286E-4	-3.725	1.46102404771429E-4
-3.85	-1.05457679428571E-4	-3.7	9.53982032571428E-5
-3.825	-1.37654982285714E-4	-3.675	1.51595704942857E-4
-3.8	-4.61384915714286E-4	-3.65	2.28387180685714E-4
-3.775	-5.94960182E-4	-3.625	2.556854208E-4
-3.75	-6.79164623428571E-4	-3.6	2.12137537142857E-4
-3.725	-6.56841016285714E-4	-3.575	1.41575827428571E-4
-3.7	-3.75913180571429E-4	-3.55	3.85698779428571E-5
-3.675	-4.36459444285714E-5	-3.525	-1.22351546857143E-5
-3.65	2.81643939428572E-5	-3.5	-1.66272298857143E-5
-3.625	5.74504986857143E-5	-3.475	1.33980193428571E-5
-3.6	-9.73712663428572E-5	-3.45	-8.51977697142857E-6
-3.575	-3.64311312285714E-4	-3.425	-3.84273587714286E-5
-3.55	-3.94136172857143E-4	-3.4	1.33568686285714E-5
-3.525	-2.95926725E-4	-3.375	5.15806045142857E-5
-3.5	-2.37155843142857E-4	-3.35	1.172099148E-4
-3.475	-1.60535441714286E-4	-3.325	1.32539866028571E-4
-3.45	-1.0735631E-4	-3.3	5.26210803428571E-5
-3.425	-2.44537907257143E-4	-3.275	1.76038404285714E-5
-3.4	-3.45990432914286E-4	-3.25	4.71303628571429E-5
-3.375	-2.80339322114286E-4	-3.225	7.74387791428571E-5
-3.35	-1.88330497728571E-4	-3.2	6.74446442285714E-5
-3.325	-1.7947785168E-4	-3.175	2.15394984E-5
-3.3	-1.03273881282857E-4	-3.15	-5.09862996E-5
-3.275	-1.28705614251429E-4	-3.125	-6.27321693428571E-5
-3.25	-1.80741703728571E-4	-3.1	-1.92099385142857E-5
-3.225	-1.46302108514286E-4	-3.075	6.07282652285714E-5
-3.2	-1.45181722685714E-4	-3.05	9.51509336E-5
-3.175	-1.74970935085714E-4	-3.025	5.09871898571428E-5
-3.15	-2.77265786857143E-4	-3	-1.30903657142857E-6
-3.125	-4.1106579E-4	-2.975	-8.74971377142857E-5
-3.1	-4.08216589142857E-4	-2.95	-1.30246114142857E-4
-3.075	-3.12840114428571E-4	-2.925	-1.82443467371429E-4
-3.05	-1.64297959828571E-4	-2.9	-1.750651774E-4
-3.025	7.85019798E-5	-2.875	-1.38024437371429E-4
-3	1.59614441885714E-4	-2.85	-1.209117522E-4
-2.975	3.83582121428571E-5	-2.825	-1.63955653028571E-4
-2.95	-5.92072076857143E-5	-2.8	-1.20392803485714E-4
-2.925	-4.57870269257143E-5	-2.775	-9.40489047428571E-5
-2.9	6.92740237085715E-5	-2.75	1.10440547542857E-5
-2.875	2.6033675536E-4	-2.725	1.01197474491429E-4
-2.85	3.03265496028571E-4	-2.7	1.58231115754286E-4
-2.825	2.12447161714286E-4	-2.675	9.72345582285714E-5
-2.8	-4.46599954285714E-5	-2.65	9.48387270571429E-5
-2.775	-2.05641744857143E-4	-2.625	8.25657152571428E-5
-2.75	-2.20476248285714E-4	-2.6	1.66910157E-4
-2.725	-2.12680257428571E-4	-2.575	1.74933612857143E-4
-2.7	-3.96931908285714E-4	-2.55	1.69170952E-4
-2.675	-5.78993972571429E-4	-2.525	1.00234224285714E-4
-2.65	-7.20853327714286E-4	-2.5	1.21938420685714E-4
-2.625	-5.49164679714286E-4	-2.475	1.91039400057143E-4
-2.6	-1.83947669142857E-4	-2.45	2.25759487828571E-4
-2.575	1.05427099142857E-4	-2.425	1.80182937714286E-4
-2.55	9.18988528571429E-5	-2.4	4.17928520571428E-5
-2.525	7.16876457142859E-6	-2.375	-8.00479438285714E-5
-2.5	-8.81147637142858E-5	-2.35	-1.82194593657143E-4
-2.475	-1.67312024571429E-4	-2.325	-1.60337456571429E-4
-2.45	-1.03943513428571E-4	-2.3	-6.38441732571428E-5
-2.425	2.04058509142857E-5	-2.275	1.45481199942857E-4
-2.4	-1.92146359542857E-4	-2.25	2.86175815314286E-4
-2.375	-3.59299335657143E-4	-2.225	4.01688061428571E-4
-2.35	-3.18441951285714E-4	-2.2	4.12003664857143E-4
-2.325	-3.57904668971428E-4	-2.175	2.83383691714286E-4
-2.3	-2.18954242542857E-4	-2.15	8.86604457142857E-5
-2.275	-2.1261014E-5	-2.125	-6.70818428571427E-6
-2.25	-4.75067327714286E-5	-2.1	-6.2287866E-5
-2.225	-2.10988506857143E-4	-2.075	-1.47211199942857E-4
-2.2	-2.75015592857143E-4	-2.05	-1.08886720971429E-4
-2.175	-2.79962821142857E-4	-2.025	-6.81946482285714E-5
-2.15	5.36161000000001E-6	-2	-6.61045202857143E-5
-2.125	1.29243431428571E-4	-1.975	1.35839188E-5
-2.1	6.25822402857143E-5	-1.95	8.72177111142857E-5
-2.075	-8.37744788571428E-5	-1.925	2.67992463428571E-5
-2.05	-1.42705991428571E-4	-1.9	-1.15038546571428E-5
-2.025	-2.16156409714286E-4	-1.875	-3.21747008571429E-5
-2	-1.15066344428571E-4	-1.85	-9.20152515142857E-5
-1.975	-3.17979747142857E-5	-1.825	-1.07564148057143E-4
-1.95	3.19163602571429E-5	-1.8	-5.76996498857143E-5
-1.925	2.25256484857143E-5	-1.775	-5.20812891428571E-5
-1.9	9.86019159714286E-5	-1.75	-2.95642003714286E-5
-1.875	9.89531724285714E-5	-1.725	3.71452244571429E-5
-1.85	-3.9741576E-5	-1.7	4.39429282E-5
-1.825	-2.14974590285714E-4	-1.675	3.33175234285714E-5
-1.8	-3.07136285142857E-4	-1.65	5.38491464285714E-5
-1.775	-4.37511106857143E-4	-1.625	8.18247077142857E-5
-1.75	-4.01666443714286E-4	-1.6	9.29805498571429E-5
-1.725	-2.51514408685714E-4	-1.575	1.15322073428571E-4
-1.7	-2.28084360628571E-4	-1.55	7.20377599714285E-5
-1.675	-2.63784270114286E-4	-1.525	7.79587114285714E-6
-1.65	-3.64939684571429E-4	-1.5	-9.18121610571429E-5
-1.625	-5.89444338857143E-4	-1.475	-2.20806245771429E-4
-1.6	-7.44318602571429E-4	-1.45	-2.43366802571429E-4
-1.575	-6.41723471714286E-4	-1.425	-2.00306600571429E-4
-1.55	-5.78646459142857E-4	-1.4	-1.49007651142857E-4
-1.525	-5.00748125714286E-4	-1.375	1.61093514285714E-5
-1.5	-3.55068277142857E-4	-1.35	1.45526984571429E-4
-1.475	-3.73112879714286E-4	-1.325	1.97860265428571E-4
-1.45	-3.81239165428571E-4	-1.3	2.15643768857143E-4
-1.425	-2.04482143257143E-4	-1.275	1.96794492457143E-4
-1.4	-1.09768990628571E-4	-1.25	1.0676354916E-4
-1.375	1.83153302857143E-6	-1.225	6.31280155085714E-5
-1.35	9.0413464E-5	-1.2	4.28393873142857E-6
-1.325	-3.04361248571429E-5	-1.175	4.13295785142857E-5
-1.3	-2.09521984285714E-4	-1.15	6.20814825714286E-5
-1.275	-2.00683847714286E-4	-1.125	3.84511432E-5
-1.25	-2.11927849142857E-4	-1.1	1.11495179714286E-5
-1.225	-9.01423551428571E-5	-1.075	-7.19506442857142E-6
-1.2	7.64885813714286E-5	-1.05	-2.91643468571428E-5
-1.175	1.59031671542857E-4	-1.025	-5.33283295142857E-5
