time (fs)	MgCl2 1M	MgCl2 2M	MgCl2 4M	H2O	Na2SO4
-1448	3.71626E-5	1.12222E-5	4.62006E-5	-1.33799E-5	7.54278E-5
-1416	7.39424E-5	-1.49288E-5	5.76457E-6	-2.72547E-5	-5.69414E-6
-1384	1.06832E-4	3.63332E-5	1.36514E-4	-7.49445E-5	4.47407E-6
-1352	8.47119E-5	-4.54819E-5	-5.71366E-5	-5.90387E-5	2.30824E-5
-1320	1.4475E-4	-1.67187E-5	-1.05083E-4	-6.64339E-6	4.8923E-5
-1288	6.28215E-5	1.04445E-5	-1.94823E-5	-4.70811E-7	4.63941E-5
-1256	2.6467E-5	-1.8939E-5	5.16134E-5	-4.28252E-6	2.10351E-5
-1224	8.2074E-5	-2.56723E-6	1.10198E-5	-1.86642E-5	1.62345E-5
-1192	8.96989E-5	2.59955E-5	1.14003E-4	-7.86872E-5	-2.72389E-6
-1160	1.1181E-4	-9.24193E-6	-2.75095E-5	-8.93901E-5	3.28317E-5
-1128	1.04735E-4	-5.79586E-7	-7.84273E-5	-2.17069E-5	1.46078E-6
-1096	1.76956E-4	-4.40153E-5	-9.66523E-6	-5.7044E-5	8.58335E-5
-1064	4.21178E-5	5.48324E-5	1.20849E-4	-3.60231E-5	5.71034E-6
-1032	1.05175E-4	-3.37199E-5	3.66453E-5	-5.85533E-7	5.43617E-5
-1000	4.27696E-5	-6.57894E-6	-2.84572E-5	-8.23714E-5	2.48211E-5
-968	9.94436E-5	-8.1595E-5	1.58967E-4	-8.61974E-5	4.22814E-5
-936	-8.64876E-6	3.01478E-5	1.69928E-5	5.20168E-6	1.43918E-6
-904	9.54766E-5	-7.09708E-5	6.84033E-5	-5.69097E-5	7.42259E-5
-872	-5.89237E-5	-3.14443E-5	9.03485E-5	-8.9972E-5	-6.71359E-5
-840	-8.28104E-6	-8.62999E-5	5.36802E-5	-5.03905E-5	-6.29032E-5
-808	-1.20662E-4	-1.14859E-4	2.81729E-5	-5.68766E-5	2.39909E-5
-776	-2.04292E-5	-7.66312E-5	2.48097E-5	-6.3829E-5	-5.17053E-6
-744	-1.0042E-4	-1.937E-4	-2.08802E-5	-9.96376E-5	4.42388E-5
-712	-2.32165E-5	-1.447E-4	-3.63118E-5	-5.3403E-5	3.54674E-5
-680	-2.32372E-5	-1.60617E-4	-9.01931E-5	-1.32429E-4	2.6449E-5
-648	4.15004E-5	-9.87105E-5	-9.89171E-5	-1.207E-4	1.02766E-4
-616	-3.7863E-6	-1.53085E-4	-2.34145E-4	-1.34801E-4	8.89566E-5
-584	7.9768E-6	-1.88748E-4	-2.9881E-4	-1.74816E-4	8.53642E-5
-552	-5.25309E-6	-2.74325E-4	-3.44418E-4	-1.34671E-4	4.99461E-5
-520	-1.07404E-4	-3.88664E-4	-5.1113E-4	-6.21303E-5	1.06274E-4
-488	-7.77095E-5	-3.92689E-4	-7.98182E-4	-2.5398E-5	9.95939E-5
-456	2.77156E-5	-5.56835E-4	-9.69687E-4	-8.28918E-5	1.03595E-4
-424	-1.39595E-4	-5.94966E-4	-0.00118442	6.28095E-5	1.418E-4
-392	-1.42536E-4	-8.71234E-4	-0.00128822	2.87498E-5	1.26204E-4
-360	-1.02854E-4	-8.41459E-4	-0.00142912	1.96226E-4	1.21217E-4
-328	-1.38443E-4	-9.16949E-4	-0.00149033	1.7955E-4	1.25838E-4
-296	-1.4771E-4	-8.92048E-4	-0.00140831	6.99958E-5	9.27704E-5
-264	-1.37977E-4	-8.27366E-4	-0.00133949	7.38602E-5	1.32196E-4
-232	-1.66769E-4	-8.00767E-4	-0.00103293	-1.49941E-5	6.85244E-5
-200	-2.51241E-4	-6.93843E-4	-8.17779E-4	-1.23861E-4	-1.08579E-4
-168	-4.49624E-4	-7.65739E-4	-7.53831E-4	-4.27791E-4	-1.44243E-4
-136	-6.07915E-4	-8.80133E-4	-0.0010308	-5.17048E-4	-3.57821E-4
-104	-7.10883E-4	-0.00123101	-0.001313	-6.50377E-4	-5.37834E-4
-72	-9.82006E-4	-0.00153908	-0.00183023	-7.65102E-4	-6.33274E-4
-40	-9.99505E-4	-0.00185795	-0.00235086	-8.77348E-4	-7.37773E-4
-8	-0.00117706	-0.00211934	-0.00281125	-7.75074E-4	-8.0882E-4
24	-0.00114879	-0.00222322	-0.00326698	-7.36953E-4	-7.82462E-4
56	-0.00110374	-0.00231475	-0.00338627	-7.11324E-4	-5.54101E-4
88	-0.00105913	-0.00238507	-0.00343451	-5.13843E-4	-5.15825E-4
120	-9.55874E-4	-0.00226446	-0.00324591	-4.69956E-4	-3.1052E-4
152	-8.35843E-4	-0.00213199	-0.00292742	-3.93288E-4	-1.745E-4
184	-6.85743E-4	-0.00191879	-0.00266202	-4.19635E-4	-2.24061E-4
216	-6.2746E-4	-0.0017474	-0.00223747	-3.85562E-4	-1.59463E-4
248	-4.46833E-4	-0.00152811	-0.00188927	-4.4054E-4	-1.15495E-4
280	-5.06094E-4	-0.0014751	-0.00172168	-4.75242E-4	-2.016E-4
312	-4.16947E-4	-0.00130769	-0.00150346	-4.5766E-4	-1.14531E-4
344	-3.99645E-4	-0.00134393	-0.0014179	-4.40541E-4	-5.15026E-5
376	-3.69261E-4	-0.00112922	-0.00119675	-4.58999E-4	-1.34936E-4
408	-2.80893E-4	-0.00109623	-0.00129971	-4.08136E-4	-8.55531E-5
440	-3.85048E-4	-0.00104496	-0.00109646	-4.29711E-4	-1.18141E-4
472	-1.10364E-4	-0.00102486	-0.00108933	-3.9708E-4	-1.54112E-4
504	-2.4596E-4	-8.32521E-4	-8.77654E-4	-3.65955E-4	-5.89141E-5
536	-8.78542E-5	-8.81054E-4	-7.96855E-4	-2.77071E-4	-1.1364E-5
568	-5.2012E-5	-7.04056E-4	-7.06052E-4	-3.82907E-4	-7.06009E-5
600	-1.66603E-5	-7.22982E-4	-5.75898E-4	-2.7117E-4	-3.60167E-5
632	-2.73857E-5	-6.36856E-4	-5.65052E-4	-3.21747E-4	4.92001E-5
664	7.53263E-7	-6.51379E-4	-4.33314E-4	-2.77082E-4	3.63076E-5
696	7.27627E-5	-6.42578E-4	-4.48162E-4	-2.96177E-4	6.9134E-5
728	5.77936E-5	-6.49694E-4	-3.42661E-4	-2.72883E-4	2.43745E-5
760	5.45693E-5	-5.18887E-4	-2.86597E-4	-2.9523E-4	-6.35833E-6
792	-5.53531E-5	-5.43879E-4	-3.04801E-4	-2.05705E-4	5.33395E-5
824	3.15429E-6	-3.88866E-4	-2.12282E-4	-3.65601E-4	1.2328E-4
856	4.3012E-5	-5.08302E-4	-1.52925E-4	-3.14167E-4	7.40889E-5
888	1.04185E-4	-3.79992E-4	-2.84754E-4	-1.94128E-4	1.85351E-4
920	8.43431E-5	-4.61379E-4	-2.80517E-4	-2.68218E-4	1.9474E-4
952	1.26294E-4	-4.92558E-4	-2.42932E-4	-2.29298E-4	2.25872E-4
984	1.08589E-4	-3.11731E-4	-2.33461E-4	-3.15636E-4	2.37742E-4
1016	1.61981E-4	-4.45291E-4	-2.43328E-4	-2.661E-4	2.48903E-4
1048	1.49755E-4	-4.67828E-4	-1.85414E-4	-2.67558E-4	2.75723E-4
1080	1.20626E-4	-3.78649E-4	-1.97861E-4	-1.23361E-4	2.49911E-4
1112	1.4285E-4	-4.48106E-4	-1.60127E-4	-9.2758E-5	2.90003E-4
1144	1.07389E-4	-3.71984E-4	-1.79226E-4	-1.90432E-4	2.99746E-4
1176	2.16074E-4	-4.52485E-4	-2.49342E-4	-2.28905E-4	2.43117E-4
1208	2.9177E-4	-4.20713E-4	-1.35194E-4	-2.14404E-4	2.22659E-4
1240	2.25103E-4	-4.61548E-4	-2.02682E-4	-1.56221E-4	2.71545E-4
1272	1.82818E-4	-4.38859E-4	-2.71883E-6	-1.83839E-4	1.98253E-4
1304	1.89518E-4	-4.68082E-4	7.02279E-5	-1.71824E-4	1.43354E-4
1336	2.54121E-4	-3.37079E-4	6.13985E-7	-9.02541E-5	2.29862E-4
1368	2.60427E-4	-2.76844E-4	2.4224E-5	-1.97211E-4	2.39229E-4
1400	2.27062E-4	-2.65004E-4	4.99308E-5	-4.8065E-5	2.70717E-4
1432	3.12867E-4	-2.93806E-4	-2.32941E-6	-6.32698E-5	3.2418E-4
1464	2.24299E-4	-3.04288E-4	-3.79958E-5	-1.58164E-4	2.22599E-4
1496	2.81483E-4	-3.88571E-4	-1.68249E-4	-1.41184E-4	2.63606E-4
1528	2.02901E-4	-2.64733E-4	-9.36523E-5	-8.33636E-5	2.36888E-4
1560	2.45412E-4	-2.2898E-4	4.3558E-5	-1.76274E-4	3.26691E-4
1592	2.72542E-4	-2.82072E-4	-6.46534E-5	-7.21889E-5	3.03434E-4
1624	3.0552E-4	-3.21427E-4	-1.17343E-5	-1.39898E-4	2.10623E-4
1656	2.36555E-4	-3.43843E-4	3.62126E-5	-9.543E-5	2.57221E-4
1688	3.21727E-4	-3.34857E-4	1.43441E-4	-1.48451E-4	2.14057E-4
