time(fs)	total	permanent	induced
-1448	1.88569E-5	5.53332E-5	-3.64763E-5
-1416	-4.73293E-5	-2.5175E-5	-2.21543E-5
-1384	2.48656E-5	2.7265E-5	-2.3994E-6
-1352	1.0121E-5	1.59377E-5	-5.8167E-6
-1320	1.69909E-5	1.66279E-5	3.63E-7
-1288	2.68634E-5	2.25902E-5	4.2732E-6
-1256	-3.90051E-5	-6.9621E-7	-3.83089E-5
-1224	-8.44012E-6	1.7823E-5	-2.62631E-5
-1192	-1.87271E-6	7.74462E-6	-9.61733E-6
-1160	8.26902E-5	7.16045E-5	1.10857E-5
-1128	-1.81313E-5	-4.39417E-6	-1.37371E-5
-1096	1.03565E-4	1.19131E-4	-1.5566E-5
-1064	7.9942E-6	4.43288E-5	-3.63346E-5
-1032	3.11863E-5	1.7991E-5	1.31953E-5
-1000	7.66868E-6	2.35624E-6	5.31244E-6
-968	5.27121E-5	3.3095E-5	1.96171E-5
-936	-4.53743E-5	-1.25028E-5	-3.28715E-5
-904	1.87786E-5	5.4972E-5	-3.61934E-5
-872	-8.03556E-5	-2.38055E-5	-5.65501E-5
-840	-1.79036E-4	-1.37089E-4	-4.1947E-5
-808	-6.7419E-5	-2.01089E-5	-4.73101E-5
-776	-4.3221E-5	-1.12312E-5	-3.19898E-5
-744	-9.73438E-6	1.7643E-5	-2.73774E-5
-712	-3.04142E-5	-4.67139E-5	1.62997E-5
-680	1.94253E-5	-1.43817E-5	3.3807E-5
-648	6.88229E-5	3.48171E-5	3.40058E-5
-616	1.90886E-6	3.74493E-6	-1.83607E-6
-584	9.51984E-5	6.68085E-5	2.83899E-5
-552	1.66167E-4	1.07385E-4	5.8782E-5
-520	9.62126E-5	5.09292E-5	4.52834E-5
-488	1.70056E-4	1.75506E-4	-5.45E-6
-456	1.17317E-4	1.51183E-4	-3.3866E-5
-424	1.70892E-4	1.92307E-4	-2.1415E-5
-392	2.42568E-4	2.14868E-4	2.77E-5
-360	2.03424E-4	1.99682E-4	3.742E-6
-328	2.00621E-4	2.19747E-4	-1.9126E-5
-296	1.21514E-4	1.03463E-4	1.8051E-5
-264	1.31261E-4	5.1313E-5	7.9948E-5
-232	7.65026E-5	7.56879E-6	6.89338E-5
-200	-1.30882E-4	-1.37298E-4	6.416E-6
-168	-8.8357E-5	-1.03079E-4	1.4722E-5
-136	-2.80314E-4	-2.65534E-4	-1.478E-5
-104	-4.93246E-4	-4.08792E-4	-8.4454E-5
-72	-6.02013E-4	-4.91572E-4	-1.10441E-4
-40	-7.18039E-4	-6.56688E-4	-6.1351E-5
-8	-7.69064E-4	-6.39687E-4	-1.29377E-4
24	-7.74819E-4	-7.03663E-4	-7.1156E-5
56	-5.11344E-4	-5.11087E-4	-2.57E-7
88	-4.53535E-4	-5.1215E-4	5.8615E-5
120	-2.40698E-4	-3.26708E-4	8.601E-5
152	-1.66548E-4	-3.0339E-4	1.36842E-4
184	-1.66163E-4	-2.53141E-4	8.6978E-5
216	-1.04166E-4	-2.05925E-4	1.01759E-4
248	-2.1108E-5	-1.57312E-4	1.36204E-4
280	-1.18146E-4	-2.06975E-4	8.8829E-5
312	-1.00321E-4	-1.90203E-4	8.9882E-5
344	-1.00094E-4	-1.46702E-4	4.6608E-5
376	-1.87011E-4	-2.18754E-4	3.1743E-5
408	-1.15389E-4	-1.71568E-4	5.6179E-5
440	-1.10428E-4	-1.35914E-4	2.5486E-5
472	-1.34472E-4	-1.1434E-4	-2.0132E-5
504	-4.02523E-5	-5.81143E-5	1.7862E-5
536	9.20776E-5	2.74595E-5	6.46181E-5
568	-1.97917E-5	8.2748E-6	-2.80665E-5
600	-2.2441E-5	-1.75967E-5	-4.8443E-6
632	4.29788E-5	1.72312E-6	4.12557E-5
664	1.9484E-4	9.63766E-5	9.84634E-5
696	9.03248E-5	7.80163E-5	1.23085E-5
728	1.02343E-4	1.30742E-4	-2.8399E-5
760	6.29755E-5	9.88805E-5	-3.5905E-5
792	4.17245E-5	1.75186E-5	2.42059E-5
824	1.7515E-4	1.39878E-4	1.15272E-4
856	2.07752E-4	1.64794E-4	1.22958E-4
888	3.12837E-4	2.86056E-4	1.06781E-4
920	3.00326E-4	2.59676E-4	1.2065E-4
952	2.46264E-4	1.75246E-4	1.51018E-4
984	2.82909E-4	2.30014E-4	1.32895E-4
1016	3.12242E-4	2.44301E-4	1.47941E-4
1048	3.18474E-4	2.65451E-4	1.33023E-4
1080	2.92575E-4	2.641E-4	1.08475E-4
1112	2.88506E-4	2.45423E-4	1.23083E-4
1144	3.67272E-4	2.94334E-4	1.52938E-4
1176	2.57776E-4	2.28789E-4	1.08987E-4
1208	2.61371E-4	1.94094E-4	1.47277E-4
1240	3.63059E-4	2.36329E-4	2.0673E-4
1272	2.94611E-4	1.57409E-4	2.17202E-4
1304	1.47363E-4	1.37775E-4	8.9588E-5
1336	2.30197E-4	2.06776E-4	1.03421E-4
1368	2.14089E-4	1.307E-4	1.63389E-4
1400	3.63566E-4	2.13156E-4	2.3041E-4
1432	3.8921E-4	2.50164E-4	2.19046E-4
1464	2.15242E-4	9.63962E-5	1.98846E-4
1496	3.29434E-4	2.16776E-4	1.92658E-4
1528	1.5535E-4	6.23928E-6	2.29111E-4
1560	3.28633E-4	1.77911E-4	2.30722E-4
1592	3.14943E-4	2.37419E-4	1.57524E-4
1624	2.03743E-4	1.62245E-4	1.21498E-4
1656	2.02252E-4	1.60966E-4	1.21286E-4
1688	1.27257E-4	1.4547E-4	6.1787E-5
